Course,Section,Time,Location,Enrollment,Classification,Day
ACCT 5710,L2,"30-AUG-2023 - 18-OCT-2023
We 02:30PM - 05:50PM","G001, LSK Bldg (70)",41,LSK Bldg,We
ACCT 5801,L1,"05-NOV-2023 - 05-NOV-2023
Su 09:00AM - 12:20PM","Rm 1001, LSK Bldg (70)",45,LSK Bldg,Su
ACCT 6900I,L1,"25-OCT-2023 - 13-DEC-2023
We 07:00PM - 10:20PM",TBA,24,TBA,We
ACCT 6900K,L1,"28-AUG-2023 - 28-AUG-2023
Mo 02:30PM - 05:50PM","G003, LSK Bldg (70)",33,LSK Bldg,Mo
ACCT 6970A,R1,TBA,TBA,1,TBA,TBA
ACCT 6990,R1,TBA,TBA,1,TBA,TBA
ACCT 7990,R1,TBA,TBA,4,TBA,TBA
AESF 5210,L1,Th 07:00PM - 09:50PM,"Rm 2404, Lift 17-18 (81)",32,Lift 17-18,Th
AESF 5310,L1,Fr 07:00PM - 09:50PM,"Rm 5620, Lift 31-32 (70)",42,Lift 31-32,Fr
AESF 5330,L1,Mo 07:00PM - 09:50PM,"Rm 2404, Lift 17-18 (81)",35,Lift 17-18,Mo
AESF 5370,L1,Sa 10:00AM - 12:50PM,TBA,20,TBA,Sa
AESF 5630,L1,Tu 07:00PM - 09:50PM,"Rm 2302, Lift 17-18 (74)",19,Lift 17-18,Tu
AESF 5710,L1,"09-SEP-2023 - 16-SEP-2023
Sa 02:00PM - 05:50PM","Rm 2302, Lift 17-18 (74)",28,Lift 17-18,Sa
AESF 6950A,R1,TBA,TBA,5,TBA,TBA
AESF 6950B,R1,TBA,TBA,24,TBA,TBA
AIAA 6990,R1,TBA,TBA,2,TBA,TBA
AIAA 7990,R1,TBA,TBA,9,TBA,TBA
AMAT 6990,R1,TBA,TBA,1,TBA,TBA
AMAT 7990,R1,TBA,TBA,19,TBA,TBA
BEHI 5001,L1,Fr 06:00PM - 08:50PM,"Rm 1409, Lift 25-26 (60)",40,Lift 25-26,Fr
BEHI 5002,L1,Mo 06:00PM - 08:50PM,"Rm 2302, Lift 17-18 (74)",36,Lift 17-18,Mo
BEHI 5004,L1,Th 06:00PM - 08:50PM,"Rm 6602, Lift 31-32 (60)",25,Lift 31-32,Th
BEHI 5005,L1,We 06:00PM - 08:50PM,"Rm 2504, Lift 25-26 (84)",35,Lift 25-26,We
BEHI 5009,L1,Tu 06:00PM - 08:50PM,Lecture Theater H (72),24,Lecture Theater H,Tu
BEHI 6101B,R1,TBA,TBA,30,TBA,TBA
BEHI 6102B,R1,TBA,TBA,2,TBA,TBA
BIBU 4820,L1,Th 01:30PM - 04:20PM,"Rm 4504, Lift 25-26 (54)",39,Lift 25-26,Th
BIBU 4840,R1,TBA,TBA,22,TBA,TBA
BIBU 4850,LA1,TBA,TBA,6,TBA,TBA
